@RELATION TELEFONCULAR
@ATTRIBUTE Ekran_Boyutu_inc REAL
@ATTRIBUTE Hafiza_GB REAL	
@ATTRIBUTE Ram_GB REAL
@ATTRIBUTE Batarya_mAh INTEGER
@ATTRIBUTE Hat_Sayisi INTEGER
@ATTRIBUTE Hizli_Sarj INTEGER
@ATTRIBUTE 4_5G REAL
@ATTRIBUTE 5G REAL
@ATTRIBUTE CPU_cekirdek REAL
@ATTRIBUTE SAR_W/kg REAL
@ATTRIBUTE Ekran_orani REAL
@ATTRIBUTE Degisir_Batarya INTEGER
@ATTRIBUTE Kamera_cozunurlugu_MP REAL
@ATTRIBUTE Ekran_Cozunurlugu REAL
@ATTRIBUTE Parmak_Izi_Okuyucu REAL
@ATTRIBUTE Okuyucu REAL
@ATTRIBUTE Class {1,2,3,4,5}

@Data
2.4,0.5,0.5,1500,1,0,0,0,1,0.40,27.27,1,5,3,0,0,1
2.44,0.5,0.5,1450,1,0,0,0,1,1.24,28.19,1,3.15,1,0,0,1
2.44,0.5,0.5,1000,1,0,0,0,1,1.22,28.19,1,5,3,0,0,1
2.45,8,0.8,1230,1,0,0,0,1,1.56,28.16,1,5,3,0,0,1
2.6,0.5,0.5,1250,1,0,0,0,1,0.82,27.24,1,5,2,0,0,1
2.8,0.25,0.5,1050,1,0,0,0,1,0.68,40.71,1,3.15,1,0,0,1
2.8,3,0.5,1200,1,0,0,0,1,0.699,39.97,1,2,1,0,0,1
3.0,0.18,0.4,1200,1,0,0,0,1,0.655,46.21,1,2,1,0,0,1
3.0,4,0.5,1200,1,0,0,0,1,0.85,45.92,1,2,1,0,0,1
3.0,4,0.5,1540,1,0,0,0,1,0.63,45.75,1,2,1,0,0,1
3.1,8,2,2180,1,0,0,0,2,1.38,39.14,0,5,5,0,0,1
3.1,16,2,2100,1,0,0,0,2,1.41,38.8,1,8,5,0,0,2
3.2,4,0.5,1540,1,0,0,0,1,1.00,50.58,1,3.15,1,0,0,1
3.2,4,0.5,1270,1,0,0,0,1,0.86,46.08,1,5,3,0,0,1
3.2,2,0.5,1500,1,0,0,0,1,1.62,51.94,1,3.15,2,0,0,1
